Stromstärke (A);Spannung (V)
-0,15;-1
-0,15;-0,9
-0,15;-0,8
-0,15;-0,7
-0,15;-0,6
-0,15;-0,5
-0,15;-0,4
-0,15;-0,3
-0,15;-0,2
-0,15;-0,1
-0,149;-2,22044604925031E-16
-0,144;0,1
-0,131;0,2
-0,105;0,3
-0,071;0,4
-0,031;0,5
0,01;0,6
0,054;0,7
0,097;0,8
-0,129;0,21
-0,127;0,22
-0,124;0,23
-0,122;0,24
-0,119;0,25
-0,117;0,26
-0,114;0,27
-0,111;0,28
-0,108;0,29
-0,105;0,3
-0,102;0,31
-0,099;0,32
-0,096;0,33
-0,092;0,34
-0,089;0,35
-0,085;0,36
-0,081;0,37
-0,078;0,38
-0,074;0,39
-0,07;0,4
-0,067;0,41
-0,063;0,42
-0,059;0,43
-0,055;0,44
-0,051;0,45
-0,047;0,46
-0,043;0,47
-0,039;0,48
-0,035;0,49
