Widerstand (Ohm);Dicke (mm);Widerstand (Ohm);Dicke (mm);Widerstand (Ohm);Dicke (mm);Widerstand (Ohm);Dicke (mm);Widerstand (Ohm);Dicke (mm);Widerstand (Ohm);Dicke (mm)
#factor;;;;;;;;;;;
100;1;10;1;0,1;1;0,001;1;100;1;0,1;1
#start;;;;;;;;;;;
0,514;0,449;0,844;0,454;0,731;0,676;1,937;2,001;0,211;2,107;0,77;0,683
0,507;0,449;0,838;0,453;0,73;0,677;1,911;1,994;0,211;2,108;0,791;0,682
0,502;0,449;0,826;0,453;0,703;0,677;1,889;1,999;0,25;2,108;0,875;0,682
0,549;0,448;0,819;0,453;0,705;0,677;1,921;2,005;0,25;2,106;0,949;0,683
0,486;0,448;0,883;0,453;0,734;0,678;1,893;1,995;0,251;2,106;0,777;0,683
0,429;;0,873;;0,733;;1,886;;0,1982;;0,782;
0,529;;0,874;;0,689;;1,999;;0,358;;0,777;
0,445;;0,861;;0,692;;1,984;;0,287;;0,825;
0,494;;0,86;;0,703;;1,882;;0,207;;0,931;
0,517;;0,843;;0,705;;1,888;;0,236;;0,922;
;;;;;;;;0,25;;;
