Stromstärke (mA);Spannung (V)
-1.2;-1
-1.2;-0.9
-1.19;-0.8
-1.09;-0.7
-1.1;-0.6
-0.88;-0.5
-0.84;-0.4
-0.89;-0.3
-0.98;-0.2
-0.96;-0.1
-0.94;-2.22044604925031E-16
-0.91;0.1
-0.88;0.2
-0.84;0.3
-0.8;0.4
-0.73;0.5
-0.6;0.6
-0.28;0.7
0.9;0.8
4.76;0.9
11.74;1
-0.8;0.41
-0.8;0.42
-0.79;0.43
-0.78;0.44
-0.77;0.45
-0.77;0.46
-0.76;0.47
-0.75;0.48
-0.75;0.49
-0.74;0.5
-0.73;0.51
-0.72;0.52
-0.71;0.529999999999999
-0.7;0.539999999999999
-0.68;0.549999999999999
-0.67;0.559999999999999
-0.66;0.569999999999999
-0.64;0.579999999999999
-0.62;0.589999999999999
-0.58;0.61
-0.56;0.62
-0.54;0.63
-0.52;0.64
-0.49;0.65
